labels list: ['individual_1_gram', 'individual_2_gram', 'individual_3_gram', 'individual_4_gram', 'cumulative_1_gram', 'cumulative_2_gram', 'cumulative_3_gram', 'cumulative_4_gram']
file_idx:545, scores: [1.0, 1.0, 1.0, 0.9726027397260274, 1.0, 1.0, 1.0, 0.9930791689986133]
file_idx:546, scores: [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
file_idx:547, scores: [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
file_idx:548, scores: [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
file_idx:549, scores: [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
file_idx:550, scores: [0.9791666666666666, 0.958041958041958, 0.9366197183098591, 0.9148936170212766, 0.9791666666666666, 0.9685467209085736, 0.9581984576251301, 0.9468774221358591]
file_idx:551, scores: [0.9856115107913669, 0.9710144927536232, 0.9416058394160584, 0.8970588235294118, 0.9856115107913669, 0.9782857768582814, 0.9662382045448319, 0.9482118665787808]
file_idx:552, scores: [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
file_idx:553, scores: [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
file_idx:554, scores: [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
file_idx:555, scores: [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
file_idx:556, scores: [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
file_idx:557, scores: [0.9932885906040269, 0.9864864864864865, 0.9659863945578231, 0.9178082191780822, 0.9932885906040269, 0.9898816958667741, 0.9820314738016065, 0.9654335453006232]
file_idx:558, scores: [0.9865771812080537, 0.972972972972973, 0.9591836734693877, 0.9178082191780822, 0.9865771812080537, 0.979751464947767, 0.9731148384624531, 0.9587853530455768]
file_idx:559, scores: [0.8874252644607834, 0.8806525576541687, 0.8670037671469216, 0.8394962525881094, 0.8874252644607834, 0.884032425239208, 0.8784757609030264, 0.8684484291172241]
file_idx:560, scores: [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
file_idx:561, scores: [1.0, 1.0, 1.0, 0.9863013698630136, 1.0, 1.0, 1.0, 0.9965576081305293]
file_idx:562, scores: [0.9925373134328358, 0.9849624060150376, 0.9621212121212122, 0.916030534351145, 0.9925373134328358, 0.9887426056858819, 0.979988038259575, 0.9634441839455139]
file_idx:563, scores: [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
file_idx:564, scores: [0.9722222222222222, 0.9440559440559441, 0.9154929577464789, 0.8865248226950354, 0.9722222222222222, 0.9580355775398781, 0.9441870362341185, 0.9290247748241869]
file_idx:565, scores: [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
file_idx:566, scores: [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
file_idx:567, scores: [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
file_idx:568, scores: [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
file_idx:569, scores: [0.9798657718120806, 0.9594594594594594, 0.9251700680272109, 0.8904109589041096, 0.9798657718120806, 0.9696089334188526, 0.9550077164553633, 0.9381047211655902]
file_idx:570, scores: [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
