labels list: ['individual_1_gram', 'individual_2_gram', 'individual_3_gram', 'individual_4_gram', 'cumulative_1_gram', 'cumulative_2_gram', 'cumulative_3_gram', 'cumulative_4_gram']
file_idx:0, scores: [0.9280575539568345, 0.8768115942028986, 0.8102189781021898, 0.7058823529411765, 0.9280575539568345, 0.9020707419027261, 0.8715606013218034, 0.8259504280095608]
file_idx:1, scores: [0.9454545454545454, 0.908675799086758, 0.8669724770642202, 0.8202764976958525, 0.9454545454545454, 0.9268827674474893, 0.9073568571739862, 0.8841049022509817]
file_idx:2, scores: [0.802547770700637, 0.7884615384615384, 0.7419354838709677, 0.6883116883116883, 0.802547770700637, 0.7954734753437742, 0.7791728132823639, 0.7539641098444502]
file_idx:3, scores: [0.890290500464579, 0.8162294053822, 0.7685219606639881, 0.7385865515048925, 0.890290500464579, 0.8524560316002372, 0.8247953435576789, 0.8014019842527661]
file_idx:4, scores: [0.8518518518518519, 0.825, 0.759493670886076, 0.6794871794871795, 0.8518518518518519, 0.8383184226639527, 0.8128734131992575, 0.7760342008372343]
file_idx:5, scores: [0.8832684824902723, 0.80859375, 0.7294117647058823, 0.6456692913385826, 0.8832684824902723, 0.8451067237418116, 0.8063853695698344, 0.7615554006299706]
file_idx:6, scores: [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
file_idx:7, scores: [0.9200659615225503, 0.8612440220386781, 0.7868304312470096, 0.7186986259924717, 0.9200659615225503, 0.8901692587606949, 0.8554530516394216, 0.8181695021123832]
file_idx:8, scores: [0.8205128205128205, 0.7096774193548387, 0.6428571428571429, 0.5751633986928104, 0.8205128205128205, 0.7630854611438345, 0.7230628931799608, 0.681181772545153]
file_idx:9, scores: [0.9855072463768116, 0.9708029197080292, 0.9558823529411765, 0.9407407407407408, 0.9855072463768116, 0.9781274519079959, 0.9709446254773471, 0.9630887793179549]
file_idx:10, scores: [0.9439959025433624, 0.9028304864650303, 0.838879636326584, 0.7781962587880555, 0.9439959025433624, 0.9231837736410987, 0.8949772458790854, 0.8636569633224032]
file_idx:11, scores: [0.7840909090909091, 0.6206896551724138, 0.5348837209302325, 0.43529411764705883, 0.7840909090909091, 0.6976224738262529, 0.6413795388648195, 0.5801907173960847]
file_idx:12, scores: [0.9222614840989399, 0.8546099290780141, 0.8078291814946619, 0.7607142857142857, 0.9222614840989399, 0.8877915417017551, 0.861590118250162, 0.8342395569911123]
file_idx:13, scores: [0.9615384615384616, 0.92, 0.875, 0.8260869565217391, 0.9615384615384616, 0.9405399431259603, 0.9189494846659342, 0.8942255541978509]
file_idx:14, scores: [0.9426441936312583, 0.9072714777048239, 0.8627286922261558, 0.8222235750756245, 0.9426441936312583, 0.9247887274970991, 0.9042930456906321, 0.8825459074300315]
file_idx:15, scores: [0.8511132249461765, 0.7827165232678677, 0.7184758972010095, 0.6535445117140775, 0.8511132249461765, 0.8161987407103578, 0.7834489436464787, 0.7478591369663948]
file_idx:16, scores: [0.9062601862328858, 0.8411785684541582, 0.7316467048720996, 0.6350412484884885, 0.9062601862328858, 0.8731131920331852, 0.8243878297896771, 0.7714559165721517]
file_idx:17, scores: [0.9210526315789473, 0.8378378378378378, 0.7222222222222222, 0.6285714285714286, 0.9210526315789473, 0.8784604404166165, 0.8245519770697994, 0.7693385157969297]
file_idx:18, scores: [0.9166666666666666, 0.8778625954198473, 0.8307692307692308, 0.7751937984496124, 0.9166666666666666, 0.8970548361916678, 0.8755663609093739, 0.8484615561205746]
file_idx:19, scores: [0.978494623655914, 0.967391304347826, 0.9120879120879121, 0.8555555555555555, 0.978494623655914, 0.9729271248535678, 0.9526757633222235, 0.9270675604871594]
file_idx:20, scores: [0.9158753396121152, 0.8773931824855559, 0.8329394598522271, 0.7935055158565425, 0.9158753396121152, 0.8964277879351538, 0.8753016982843874, 0.8536866736997933]
file_idx:21, scores: [0.9107142857142857, 0.8648648648648649, 0.8, 0.7247706422018348, 0.9107142857142857, 0.8874935423115977, 0.858635279624912, 0.8220632731667722]
file_idx:22, scores: [0.8974358974358975, 0.8402061855670103, 0.7823834196891192, 0.7291666666666666, 0.8974358974358975, 0.8683496946366263, 0.8401695810266733, 0.8098581168015151]
file_idx:23, scores: [0.8055555555555556, 0.7102803738317757, 0.6037735849056604, 0.5238095238095238, 0.8055555555555556, 0.7564193950066747, 0.704160741831645, 0.6522186343025661]
file_idx:24, scores: [0.8701298701298701, 0.7894736842105263, 0.7333333333333333, 0.6756756756756757, 0.8701298701298701, 0.8288212318184515, 0.7975054201545783, 0.76381883175095]
file_idx:25, scores: [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
file_idx:26, scores: [0.9224806201550387, 0.84375, 0.7637795275590551, 0.6746031746031746, 0.9224806201550387, 0.8822375095493356, 0.8422982271124615, 0.7957870320463557]
file_idx:27, scores: [0.9285714285714286, 0.8862275449101796, 0.8132530120481928, 0.7151515151515152, 0.9285714285714286, 0.9071524554431826, 0.8758776805778146, 0.8317562560675026]
file_idx:28, scores: [0.7226890756302521, 0.6779661016949152, 0.6324786324786325, 0.5775862068965517, 0.7226890756302521, 0.699970496051472, 0.6793565360520072, 0.6504374450994097]
file_idx:29, scores: [0.9144144144144144, 0.8687782805429864, 0.8045454545454546, 0.730593607305936, 0.9144144144144144, 0.8913043154044957, 0.8626782711786656, 0.8266460939345237]
file_idx:30, scores: [0.8952380952380953, 0.8365384615384616, 0.7766990291262136, 0.6862745098039216, 0.8952380952380953, 0.8653907203691862, 0.8362641627686276, 0.7948657326885261]
file_idx:31, scores: [0.974025974025974, 0.9473684210526315, 0.8533333333333334, 0.7432432432432432, 0.974025974025974, 0.9606047309259093, 0.924163241437341, 0.874650967111418]
file_idx:32, scores: [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
file_idx:33, scores: [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
file_idx:34, scores: [0.9385474860335196, 0.8764044943820225, 0.8361581920903954, 0.8011363636363636, 0.9385474860335196, 0.9069438984582923, 0.8838086904038276, 0.8615667600292184]
file_idx:35, scores: [0.9681016786111801, 0.9545095101002303, 0.9407903119770287, 0.9315085132945309, 0.9681016786111801, 0.9612815711217854, 0.954582361984624, 0.9486264386125652]
file_idx:36, scores: [0.8928571428571429, 0.8198198198198198, 0.7545454545454545, 0.6513761467889908, 0.8928571428571429, 0.8555594555505666, 0.8220936873251841, 0.7744696659877458]
file_idx:37, scores: [0.9090666322837958, 0.8321168155863616, 0.7765777182296231, 0.7169505506611537, 0.9090666322837958, 0.8697411288491593, 0.8389317174926445, 0.8055890156585716]
file_idx:38, scores: [0.8874172185430463, 0.8266666666666667, 0.7718120805369127, 0.7162162162162162, 0.8874172185430463, 0.8565034932769305, 0.8288578409099364, 0.7980011179069779]
file_idx:39, scores: [0.8395061728395061, 0.8125, 0.7848101265822784, 0.7564102564102564, 0.8395061728395061, 0.8258927081843614, 0.8136580290691972, 0.7977050063370031]
file_idx:40, scores: [0.9720930232558139, 0.9579439252336449, 0.9342723004694836, 0.8867924528301887, 0.9720930232558139, 0.964992542142122, 0.9550850732800746, 0.9372076908167547]
file_idx:41, scores: [0.8153846153846154, 0.640625, 0.5714285714285714, 0.5161290322580645, 0.8153846153846154, 0.7227418413450056, 0.6710059242194851, 0.6265008419232782]
file_idx:42, scores: [0.822429906542056, 0.7641509433962265, 0.6952380952380952, 0.625, 0.822429906542056, 0.7927550624003498, 0.7609144490323633, 0.7228911478229753]
file_idx:43, scores: [0.9805825242718447, 0.9607843137254902, 0.9405940594059405, 0.92, 0.9805825242718447, 0.9706329417620922, 0.9609019039183773, 0.9502218835326888]
file_idx:44, scores: [0.9724137931034482, 0.9444444444444444, 0.9090909090909091, 0.8661971830985915, 0.9724137931034482, 0.9583270864364114, 0.9421921850860335, 0.9221740609359121]
file_idx:45, scores: [0.9655172413793104, 0.9304347826086956, 0.8947368421052632, 0.8584070796460177, 0.9655172413793104, 0.9478137077441464, 0.9304576825557977, 0.9113992051633081]
file_idx:46, scores: [0.8973214285714286, 0.8295964125560538, 0.7747747747747747, 0.7194570135746606, 0.8973214285714286, 0.8627946673760394, 0.8339246750166901, 0.8025993559264349]
file_idx:47, scores: [0.9736842105263158, 0.9459459459459459, 0.9166666666666666, 0.8857142857142857, 0.9736842105263158, 0.9597148699373931, 0.9456787769672561, 0.9299238452109287]
file_idx:48, scores: [0.978021978021978, 0.9558823529411765, 0.9188191881918819, 0.8666666666666667, 0.978021978021978, 0.9668887989731973, 0.9510742594501211, 0.9288782672996795]
file_idx:49, scores: [0.923483378714555, 0.8516612544881361, 0.7956164493540782, 0.7222775029052385, 0.923483378714555, 0.8868455405621547, 0.8566196796067557, 0.819928445764256]
file_idx:50, scores: [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
file_idx:51, scores: [0.9111275180620193, 0.8735254300150154, 0.8291372729768602, 0.7967968449461288, 0.9111275180620193, 0.8921283859476947, 0.871246745655013, 0.8515441900735594]
file_idx:52, scores: [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
file_idx:53, scores: [0.9313069510773054, 0.892500926482038, 0.823182493819812, 0.7272738318871582, 0.9313069510773054, 0.9116974918664947, 0.8820657014761455, 0.8398928842997527]
file_idx:54, scores: [0.9026163197728153, 0.8178123992852923, 0.7660261595813334, 0.7193172474117399, 0.9026163197728153, 0.859168678495362, 0.8279537813445063, 0.798601711764342]
file_idx:55, scores: [0.8896997610908745, 0.7777781099855297, 0.7156248370745982, 0.6523715062360395, 0.8896997610908745, 0.8318587612304372, 0.7928737469397507, 0.7539106785503261]
file_idx:56, scores: [0.8928571428571429, 0.8198198198198198, 0.7636363636363637, 0.7155963302752294, 0.8928571428571429, 0.8555594555505666, 0.8253491479599103, 0.7952684879523797]
file_idx:57, scores: [0.9916666666666667, 0.9831932773109243, 0.9745762711864406, 0.9658119658119658, 0.9916666666666667, 0.9874208829065749, 0.9832880203790371, 0.978764609552155]
file_idx:58, scores: [0.9770114942528736, 0.9534883720930233, 0.9294117647058824, 0.9047619047619048, 0.9770114942528736, 0.965178273259062, 0.953563610043102, 0.9407828384633161]
file_idx:59, scores: [0.9761904761904762, 0.9512195121951219, 0.925, 0.8461538461538461, 0.9761904761904762, 0.9636241116594315, 0.9510554229858292, 0.9233186237322634]
file_idx:60, scores: [0.9186760863295543, 0.8253657483326875, 0.766015886487112, 0.6882979665673231, 0.9186760863295543, 0.8707719422838205, 0.835614819896025, 0.7951622963377113]
file_idx:61, scores: [0.8484848484848485, 0.7251908396946565, 0.6153846153846154, 0.5038759689922481, 0.8484848484848485, 0.7844191734913933, 0.7258054113243254, 0.660909006952517]
